総合順位	No.	氏名	年齢	性別	所属・登録	総合記録	ｽｲﾑﾗｯﾌﾟ	T1	ﾊﾞｲｸﾗｯﾌﾟ	ﾗﾝﾗｯﾌﾟ	男子	女子	年齢区分	年齡別順
448	4102	請盛 靖幸	57	男	沖縄県	3:21:02	0:38:44	0:03:46	1:24:30	1:14:02	381		55-59男子	47
449	3044	Zanetti Danilo	47	男	BRA	3:21:04	0:32:17	0:04:46	1:27:39	1:16:22	382		45-49男子	71
450	4110	海老原 豊	59	男	神奈川県	3:21:05	0:30:50	0:07:13	1:32:27	1:10:35	383		55-59男子	48
451	7019	鈴木 優	73	男	東京都	3:21:17	0:29:23	0:08:08	1:31:03	1:12:43	384		70-74男子	7
452	4070	秋村 敬三	46	男	大阪府	3:21:28	0:29:37	0:04:56	1:28:00	1:18:55	385		45-49男子	72
453	9087	牧田 誠	42	男	埼玉県	3:21:41	0:39:16	0:09:16	1:30:30	1:02:39	386		40-44男子	60
454	7093	佐藤 法明	32	男	千葉県	3:21:45	0:36:54	0:03:48	1:30:40	1:10:23	387		30-34男子	32
455	5016	伊藤 康太	27	男	神奈川県	3:21:54	0:34:32	0:06:19	1:33:14	1:07:49	388		25-29男子	15
456	5071	今 佑華	38	女	東京都	3:22:25	0:38:33	0:04:50	1:31:57	1:07:05		68	35-39女子	9
457	7055	久岡 卓司	51	男	兵庫県	3:22:28	0:31:35	0:03:34	1:30:31	1:16:48	389		50-54男子	67
458	7096	野口 萌美	34	女	東京都	3:22:29	0:32:17	0:06:16	1:38:32	1:05:24		69	30-34女子	6
459	6049	毛利 有孝	51	男	愛知県	3:22:36	0:32:07	0:10:07	1:37:03	1:03:19	390		50-54男子	68
460	3062	志水 康範	33	男	神奈川県	3:22:36	0:34:33	0:06:01	1:29:07	1:12:55	391		30-34男子	33
461	4042	山本 和宏	36	男	東京都	3:22:42	0:32:32	0:05:10	1:29:28	1:15:32	392		35-39男子	34
462	5008	後藤 玄利	57	男	東京都	3:22:45	0:30:15	0:05:46	1:27:16	1:19:28	393		55-59男子	49
463	2096	吉見 雅博	49	男	宮崎県	3:22:50	0:27:40	0:05:43	1:33:59	1:15:28	394		45-49男子	73
464	7113	花岡 豊	48	男	兵庫県	3:22:57	0:33:27	0:05:27	1:31:29	1:12:34	395		45-49男子	74
465	4068	山岡 義正	46	男	東京都	3:22:58	0:32:16	0:04:07	1:29:28	1:17:07	396		45-49男子	75
466	7153	中野 信幸	68	男	神奈川県	3:23:03	0:30:41	0:05:31	1:32:02	1:14:49	397		65-69男子	11
467	6007	内田 克紀	69	男	栃木県	3:23:10	0:31:18	0:06:12	1:29:43	1:15:57	398		65-69男子	12
468	9018	三井 慎太郎	40	男	大阪府	3:23:13	0:33:11	0:09:36	1:41:30	0:58:56	399		40-44男子	61
469	6117	井手 悌二	55	男	沖縄県	3:23:18	0:35:09	0:04:30	1:32:42	1:10:57	400		55-59男子	50
470	6113	戸田 友子	46	女	兵庫県	3:23:19	0:36:34	0:08:02	1:25:42	1:13:01		70	45-49女子	5
471	6051	今井 祐司	51	男	愛知県	3:23:21	0:36:50	0:05:38	1:28:44	1:12:09	401		50-54男子	69
472	6031	河野 宏樹	41	男	東京都	3:23:25	0:33:40	0:04:37	1:29:12	1:15:56	402		40-44男子	62
473	4115	渡辺 和雄	61	男	北海道	3:23:43	0:35:11	0:09:31	1:31:32	1:07:29	403		60-64男子	29
474	9021	柳堀 孝文	43	男	神奈川県	3:23:44	0:37:48	0:08:26	1:29:37	1:07:53	404		40-44男子	63
475	4067	白川 もえぎ	45	女	東京都	3:23:45	0:32:44	0:09:13	1:31:32	1:10:16		71	45-49女子	6
476	4058	﨑山 友揮	44	男	和歌山県	3:23:51	0:32:56	0:04:14	1:18:07	1:28:34	405		40-44男子	64
477	2063	森田 崇	54	男	香川県	3:23:52	0:31:52	0:04:50	1:28:02	1:19:08	406		50-54男子	70
478	7133	中田 太治	55	男	東京都	3:24:01	0:35:36	0:04:35	1:34:28	1:09:22	407		55-59男子	51
479	6067	野坂 修一	54	男	福岡県	3:24:08	0:33:45	0:06:23	1:26:12	1:17:48	408		50-54男子	71
480	7051	武田 賢二	50	男	千葉県	3:24:09	0:30:06	0:06:57	1:27:35	1:19:31	409		50-54男子	72
481	93	伊之澤 修	72	男	千葉県	3:24:18	0:31:40	0:06:22	1:29:52	1:16:24	410		70-74男子	8
482	6052	北嶋 禎治	51	男	福岡県	3:24:19	0:35:26	0:06:20	1:29:34	1:12:59	411		50-54男子	73
483	4086	山口 哲朗	51	男	東京都	3:24:32	0:34:06	0:09:07	1:31:46	1:09:33	412		50-54男子	74
484	7065	宮畑 信吾	55	男	東京都	3:24:37	0:36:05	0:08:08	1:25:52	1:14:32	413		55-59男子	52
485	7003	乾井 貴子	46	女	奈良県	3:24:41	0:35:49	0:05:53	1:35:14	1:07:45		72	45-49女子	7
486	9048	森山 真幸	34	男	神奈川県	3:25:18	0:36:12	0:05:46	1:38:42	1:04:38	414		30-34男子	34
487	9122	佐藤 晃輝	29	男	埼玉県	3:25:19	0:35:38	0:04:11	1:27:38	1:17:52	415		25-29男子	16
488	7050	船田 悟史	49	男	東京都	3:25:19	0:37:30	0:06:32	1:20:22	1:20:55	416		45-49男子	76
489	3122	渡辺 淳也	52	男	北海道	3:25:19	0:33:52	0:05:20	1:36:27	1:09:40	417		50-54男子	75
490	20	笠原 利香	54	女	沖縄県	3:25:22	0:32:57	0:05:04	1:28:09	1:19:12		73	50-54女子	14
491	9026	荒川 慶一	52	男	京都府	3:25:27	0:31:37	0:09:47	1:38:38	1:05:25	418		50-54男子	76
492	3006	村上 恭一	44	男	東京都	3:25:28	0:28:22	0:05:35	1:37:20	1:14:11	419		40-44男子	65
493	6088	須田 修弘	62	男	東京都	3:25:29	0:33:32	0:07:34	1:42:18	1:02:05	420		60-64男子	30
494	6050	久志 勝美	51	男	沖縄県	3:25:32	0:37:16	0:05:18	1:23:53	1:19:05	421		50-54男子	77
495	3078	日暮 康喜	29	男	東京都	3:25:36	0:33:26	0:06:25	1:24:35	1:21:10	422		25-29男子	17
496	3098	堀米 剛	44	男	沖縄県	3:25:44	0:31:38	0:09:50	1:29:59	1:14:17	423		40-44男子	66
497	4120	江草 章仁	64	男	広島県	3:25:44	0:33:28	0:05:24	1:31:09	1:15:43	424		60-64男子	31
498	4103	柳 權祐	57	男	Chinese Taipei	3:25:46	0:35:56	0:04:14	1:31:39	1:13:57	425		55-59男子	53
499	8090	岩川 光秀	57	男	沖縄県	3:25:52	0:35:12	0:06:24	1:31:08	1:13:08	426		55-59男子	54
500	3108	南 志麻子	48	女	東京都	3:25:57	0:33:09	0:05:47	1:32:24	1:14:37		74	45-49女子	8
501	67	伊佐 卓真	33	男	沖縄県	3:26:04	0:33:17	0:07:01	1:33:41	1:12:05	427		30-34男子	35
502	3120	小久保 進	51	男	東京都	3:26:04	0:31:00	0:09:23	1:27:47	1:17:54	428		50-54男子	78
503	8007	上野 真和	42	男	大阪府	3:26:05	0:35:37	0:05:37	1:30:47	1:14:04	429		40-44男子	67
504	9053	今井 義人	40	男	東京都	3:26:29	0:39:40	0:08:43	1:35:02	1:03:04	430		40-44男子	68
505	3017	渥美 修一郎	56	男	東京都	3:26:49	0:37:23	0:06:48	1:34:53	1:07:45	431		55-59男子	55
506	8016	飯田 夏木	31	女	東京都	3:26:50	0:40:24	0:05:55	1:41:31	0:59:00		75	30-34女子	7
507	2098	小笠原 宏之	59	男	大阪府	3:26:53	0:25:31	0:05:15	1:41:12	1:14:55	432		55-59男子	56
508	19	米田 奈美子	45	女	沖縄県	3:27:03	0:28:39	0:03:51	1:41:33	1:13:00		76	45-49女子	9
509	6092	幸村 秀生	63	男	千葉県	3:27:07	0:31:28	0:05:57	1:31:22	1:18:20	433		60-64男子	32
510	2031	内藤 保雄	68	男	長野県	3:27:11	0:26:16	0:06:00	1:22:54	1:32:01	434		65-69男子	13
511	6122	久住 安里	40	女	東京都	3:27:12	0:37:19	0:07:00	1:36:45	1:06:08		77	40-44女子	11
512	6043	小島 英生	47	男	東京都	3:27:27	0:37:28	0:05:18	1:31:22	1:13:19	435		45-49男子	77
513	4010	徳山 一	69	男	東京都	3:27:35	0:30:40	0:08:09	1:38:02	1:10:44	436		65-69男子	14
514	6001	長岡 正明	61	男	埼玉県	3:27:36	0:33:14	0:06:18	1:35:56	1:12:08	437		60-64男子	33
515	4024	向 忠	50	男	東京都	3:27:41	0:31:31	0:08:46	1:29:26	1:17:58	438		50-54男子	79
516	8021	渡口 友理恵	36	女	沖縄県	3:27:43	0:35:42	0:07:31	1:44:10	1:00:20		78	35-39女子	10
517	9138	福田 行治	41	男	山形県	3:27:53	0:32:09	0:07:28	1:44:19	1:03:57	439		40-44男子	69
518	2062	高津 徹	53	男	神奈川県	3:28:05	0:25:45	0:08:16	1:30:54	1:23:10	440		50-54男子	80
519	4128	遠藤 剛	72	男	新潟県	3:28:09	0:33:40	0:09:20	1:29:32	1:15:37	441		70-74男子	9
520	2042	Aitchison Iain	72	男	沖縄県	3:28:17	0:29:12	0:04:58	1:28:51	1:25:16	442		70-74男子	10
521	102	川平 晃爾	41	男	沖縄県	3:28:17	0:33:10	0:04:21	1:32:27	1:18:19	443		40-44男子	70
522	3132	尾竹 紀雄	56	男	東京都	3:28:20	0:31:26	0:05:31	1:28:53	1:22:30	444		55-59男子	57
523	7127	岡田 修	53	男	兵庫県	3:28:21	0:36:37	0:07:48	1:36:35	1:07:21	445		50-54男子	81
524	8053	竹内 皇貴	29	男	東京都	3:28:31	0:40:44	0:07:58	1:33:46	1:06:03	446		25-29男子	18
525	6094	湯浅 和己	65	男	東京都	3:28:34	0:38:23	0:05:57	1:31:01	1:13:13	447		65-69男子	15
526	103	松本 尚也	44	男	東京都	3:28:38	0:30:30	0:05:03	1:31:11	1:21:54	448		40-44男子	71
527	2095	長 寿美笑	48	女	福岡県	3:28:41	0:30:02	0:05:19	1:34:12	1:19:08		79	45-49女子	10
528	7012	進藤 久美	57	女	長野県	3:28:42	0:37:43	0:04:40	1:40:27	1:05:52		80	55-59女子	9
529	7103	那須 綱太郎	42	男	東京都	3:28:48	0:37:31	0:07:11	1:31:30	1:12:36	449		40-44男子	72
530	9084	星野 有一	44	男	東京都	3:28:56	0:30:53	0:05:53	1:29:45	1:22:25	450		40-44男子	73
531	5021	青木 健太郎	51	男	神奈川県	3:29:10	0:31:12	0:07:36	1:19:30	1:30:52	451		50-54男子	82
532	4090	川原 英揮	52	男	愛知県	3:29:10	0:34:10	0:05:54	1:26:25	1:22:41	452		50-54男子	83
533	9033	川浦 宏太	29	男	東京都	3:29:10	0:29:40	0:05:44	1:40:41	1:13:05	453		25-29男子	19
534	4126	吉村 元明	67	男	兵庫県	3:29:12	0:30:47	0:06:03	1:28:42	1:23:40	454		65-69男子	16
535	6033	松山 奨	43	男	東京都	3:29:13	0:40:47	0:06:07	1:21:32	1:20:47	455		40-44男子	74
536	6061	安田 宗義	53	男	愛知県	3:29:15	0:30:19	0:07:39	1:36:47	1:14:30	456		50-54男子	84
537	6030	知念 秀忠	41	男	沖縄県	3:29:29	0:32:12	0:03:48	1:32:48	1:20:41	457		40-44男子	75
538	9108	宮本 卓廣	35	男	大分県	3:29:31	0:33:38	0:05:28	1:29:29	1:20:56	458		35-39男子	35
539	5048	加藤 晋一郎	52	男	東京都	3:29:34	0:38:30	0:08:03	1:29:51	1:13:10	459		50-54男子	85
540	2059	當間 達也	51	男	沖縄県	3:29:38	0:29:10	0:04:05	1:31:27	1:24:56	460		50-54男子	86
541	5012	松岡 洋良	52	男	岐阜県	3:29:43	0:37:51	0:05:24	1:28:37	1:17:51	461		50-54男子	87
542	9083	木村 栞里	33	女	兵庫県	3:29:49	0:38:24	0:08:48	1:32:22	1:10:15		81	30-34女子	8
543	2010	花澤 彩	43	女	東京都	3:29:59	0:34:24	0:05:57	1:34:13	1:15:25		82	40-44女子	12
544	7123	秋山 裕一	51	男	岡山県	3:30:06	0:36:56	0:06:51	1:33:38	1:12:41	462		50-54男子	88
545	7080	白水 威彦	52	男	千葉県	3:30:09	0:35:44	0:07:57	1:31:01	1:15:27	463		50-54男子	89
546	7021	野村 公平	27	男	千葉県	3:30:21	0:37:19	0:06:24	1:27:57	1:18:41	464		25-29男子	20
547	8015	森保 太貴	31	男	東京都	3:30:22	0:36:01	0:07:48	1:36:57	1:09:36	465		30-34男子	36
548	4108	菅 祐治	58	男	神奈川県	3:30:27	0:31:24	0:08:17	1:29:45	1:21:01	466		55-59男子	58
549	3069	伊藤 芳夫	69	男	愛知県	3:30:33	0:34:30	0:08:27	1:40:09	1:07:27	467		65-69男子	17
550	4048	蓑田 克	40	男	東京都	3:30:35	0:32:38	0:05:49	1:36:58	1:15:10	468		40-44男子	76
551	4066	田口 沙弥香	45	女	東京都	3:30:38	0:34:59	0:05:43	1:36:09	1:13:47		83	45-49女子	11
552	7024	近藤 拓哉	30	男	東京都	3:30:41	0:46:51	0:07:20	1:34:45	1:01:45	469		30-34男子	37
553	6081	亀井 智貴	59	男	愛知県	3:30:46	0:35:29	0:12:21	1:30:25	1:12:31	470		55-59男子	59
554	5033	村中 信一	76	男	山口県	3:30:53	0:31:18	0:04:49	1:34:54	1:19:52	471		75-79男子	1
555	25	石橋 洋子	71	女	大阪府	3:30:59	0:37:14	0:05:13	1:36:32	1:12:00		84	70-74女子	1
556	9039	髙政 侑也	29	男	千葉県	3:31:07	0:33:32	0:05:19	1:32:37	1:19:39	472		25-29男子	21
557	9081	小柳 友香理	46	女	東京都	3:31:23	0:33:43	0:04:50	1:36:01	1:16:49		85	45-49女子	12
558	6091	木下 雅晴	63	男	北海道	3:31:31	0:33:01	0:06:32	1:34:12	1:17:46	473		60-64男子	34
559	5123	下浦 恭文	59	男	岡山県	3:31:37	0:37:55	0:07:17	1:25:06	1:21:19	474		55-59男子	60
560	7086	橋本 雅治	63	男	大分県	3:31:41	0:38:02	0:07:45	1:30:49	1:15:05	475		60-64男子	35
561	7058	永田 良彦	52	男	沖縄県	3:31:45	0:33:38	0:09:19	1:30:19	1:18:29	476		50-54男子	90
562	8004	小西 和隆	57	男	沖縄県	3:31:45	0:40:03	0:07:36	1:31:06	1:13:00	477		55-59男子	61
563	8100	小杉 博	75	男	東京都	3:31:50	0:39:04	0:06:18	1:33:07	1:13:21	478		75-79男子	2
564	6054	芹田 章博	51	男	福岡県	3:32:05	0:40:38	0:06:38	1:29:38	1:15:11	479		50-54男子	91
565	5076	西田 英司	57	男	東京都	3:32:11	0:34:16	0:06:16	1:32:01	1:19:38	480		55-59男子	62
566	5015	今鷹 修	72	男	熊本県	3:32:22	0:32:45	0:04:44	1:41:08	1:13:45	481		70-74男子	11
567	8048	金子 広樹	30	男	東京都	3:32:24	0:35:10	0:04:24	1:38:28	1:14:22	482		30-34男子	38
568	4023	能勢 克巳	49	男	東京都	3:32:43	0:35:20	0:06:08	1:30:11	1:21:04	483		45-49男子	78
569	5097	輿石 経昌	37	男	大阪府	3:32:50	0:38:38	0:07:08	1:44:25	1:02:39	484		35-39男子	36
570	8020	中西 雄亮	34	男	神奈川県	3:32:54	0:32:54	0:05:44	1:36:07	1:18:09	485		30-34男子	39
571	5086	村木 宏	48	男	愛知県	3:33:17	0:32:56	0:07:42	1:36:34	1:16:05	486		45-49男子	79
572	7002	辻野 誠	45	男	大阪府	3:33:19	0:31:56	0:04:51	1:34:35	1:21:57	487		45-49男子	80
573	4057	陳 沁瑜	43	女	Chinese Taipei	3:33:33	0:39:52	0:03:12	1:34:07	1:16:22		86	40-44女子	13
574	8003	秋月 孝雄	48	男	東京都	3:33:45	0:40:30	0:07:41	1:31:24	1:14:10	488		45-49男子	81
575	5114	八田 知加	55	女	滋賀県	3:33:48	0:33:53	0:04:31	1:38:23	1:17:01		87	55-59女子	10
576	7089	山田 郷	29	男	東京都	3:33:52	0:32:33	0:05:15	1:38:15	1:17:49	489		25-29男子	22
577	9123	宮澤 嗣穂	29	女	山梨県	3:34:05	0:43:10	0:04:52	1:42:49	1:03:14		88	25-29女子	5
578	4016	田島 ゆか	58	女	東京都	3:34:11	0:31:25	0:05:18	1:37:37	1:19:51		89	55-59女子	11
579	5074	岡本 輝雄	55	男	福岡県	3:34:14	0:32:27	0:08:01	1:29:16	1:24:30	490		55-59男子	63
580	9127	細谷 真弓	42	女	栃木県	3:34:20	0:37:14	0:10:58	1:36:25	1:09:43		90	40-44女子	14
581	7070	河合 洋次郎	57	男	広島県	3:34:25	0:32:36	0:04:42	1:29:45	1:27:22	491		55-59男子	64
582	6057	田波 康行	52	男	静岡県	3:34:27	0:33:12	0:07:30	1:34:47	1:18:58	492		50-54男子	92
583	6105	白川 京佐	54	男	静岡県	3:34:31	0:39:57	0:08:08	1:34:03	1:12:23	493		50-54男子	93
584	8079	北尾 龍典	50	男	大阪府	3:34:40	0:36:13	0:07:13	1:31:45	1:19:29	494		50-54男子	94
585	6064	大山 朋美	54	女	沖縄県	3:34:40	0:33:01	0:05:09	1:38:06	1:18:24		91	50-54女子	15
586	7046	沖 一匡	47	男	千葉県	3:34:42	0:33:50	0:08:11	1:38:50	1:13:51	495		45-49男子	82
587	3099	砂山 志郎	44	男	東京都	3:34:49	0:35:24	0:04:21	1:36:26	1:18:38	496		40-44男子	77
588	5043	津田 道子	44	女	石川県	3:35:03	0:33:43	0:12:54	1:40:12	1:08:14		92	40-44女子	15
589	3065	比留間 進	62	男	東京都	3:35:11	0:36:19	0:08:24	1:36:08	1:14:20	497		60-64男子	36
590	9022	森田 善仁	43	男	東京都	3:35:19	0:34:10	0:08:12	1:39:23	1:13:34	498		40-44男子	78
591	9013	西村 有紗	35	女	奈良県	3:35:24	0:31:20	0:06:59	1:33:50	1:23:15		93	35-39女子	11
592	8075	吉岡 理恵	45	女	和歌山県	3:35:32	0:37:32	0:08:14	1:41:03	1:08:43		94	45-49女子	13
593	4047	上原 賢治	40	男	神奈川県	3:35:38	0:39:56	0:08:22	1:35:50	1:11:30	499		40-44男子	79
594	7116	有木 真理	49	女	沖縄県	3:35:50	0:47:11	0:05:47	1:38:53	1:03:59		95	45-49女子	14
595	8084	吉川 誠	52	男	愛知県	3:36:11	0:37:40	0:08:35	1:27:53	1:22:03	500		50-54男子	95
596	9109	高江洲 厚	47	男	兵庫県	3:36:16	0:41:59	0:08:55	1:36:12	1:09:10	501		45-49男子	83
597	4063	風間 智之	45	男	神奈川県	3:36:28	0:31:30	0:04:53	1:23:45	1:36:20	502		45-49男子	84
598	8068	為谷 彰	42	男	東京都	3:36:35	0:47:30	0:08:12	1:27:43	1:13:10	503		40-44男子	80
599	4069	小林 勇二	46	男	東京都	3:36:39	0:33:28	0:04:51	1:22:01	1:36:19	504		45-49男子	85
600	7013	武川 明子	57	女	東京都	3:36:42	0:34:59	0:09:34	1:37:31	1:14:38		96	55-59女子	12
601	2085	堀内 浩司	62	男	東京都	3:36:43	0:28:58	0:06:15	1:40:40	1:20:50	505		60-64男子	37
602	5026	中島 資太	63	男	愛知県	3:36:43	0:33:56	0:08:06	1:37:52	1:16:49	506		60-64男子	38
603	9079	鈴木 通衛	43	男	宮城県	3:36:47	0:38:35	0:06:24	1:33:51	1:17:57	507		40-44男子	81
604	5059	一瀬 順子	45	女	神奈川県	3:36:52	0:34:09	0:07:46	1:46:38	1:08:19		97	45-49女子	15
605	9008	上原 蘭子	33	女	沖縄県	3:36:54	0:39:33	0:07:52	1:41:41	1:07:48		98	30-34女子	9
606	6083	戸眞伊 経吉	59	男	沖縄県	3:36:56	0:32:19	0:05:09	1:39:04	1:20:24	508		55-59男子	65
607	3055	清水 幸一郎	60	男	東京都	3:37:00	0:29:47	0:08:11	1:30:33	1:28:29	509		60-64男子	39
608	3136	渡邊 栄	58	男	東京都	3:37:02	0:33:49	0:07:20	1:30:53	1:25:00	510		55-59男子	66
609	9003	西岡 健斗	28	男	東京都	3:37:13	0:32:07	0:06:22	1:40:19	1:18:25	511		25-29男子	23
610	3133	古川 昭浩	56	男	愛知県	3:37:17	0:35:50	0:06:10	1:33:27	1:21:50	512		55-59男子	67
611	6076	平田 康隆	56	男	大阪府	3:37:36	0:35:30	0:06:34	1:30:59	1:24:33	513		55-59男子	68
612	7081	下田 琉海	19	男	埼玉県	3:37:39	0:30:55	0:06:22	1:24:24	1:35:58	514		10代男子	2
613	6126	高木 正人	70	男	大阪府	3:37:40	0:37:39	0:05:10	1:34:29	1:20:22	515		70-74男子	12
614	7074	玉城 洋	60	男	沖縄県	3:37:46	0:33:00	0:08:20	1:35:39	1:20:47	516		60-64男子	40
615	6017	進藤 大成	24	男	神奈川県	3:37:50	0:39:07	0:07:58	1:40:43	1:10:02	517		20-24男子	14
616	7071	深谷 真見	57	男	岐阜県	3:37:57	0:35:34	0:05:49	1:28:00	1:28:34	518		55-59男子	69
617	8105	森 謙吾	33	男	東京都	3:38:02	0:37:54	0:05:06	1:40:14	1:14:48	519		30-34男子	40
618	9107	小川 憲一郎	51	男	東京都	3:38:04	0:28:38	0:06:04	1:34:11	1:29:11	520		50-54男子	96
619	6047	金澤 憲吾	49	男	東京都	3:38:05	0:37:09	0:10:00	1:37:25	1:13:31	521		45-49男子	86
620	9086	中嶋 一博	37	男	大阪府	3:38:11	0:37:02	0:13:24	1:37:39	1:10:06	522		35-39男子	37
621	6120	近藤 岳広	42	男	岐阜県	3:38:17	0:37:45	0:08:49	1:28:13	1:23:30	523		40-44男子	82
622	8052	高野 遼平	29	男	東京都	3:38:25	0:35:16	0:06:29	1:35:05	1:21:35	524		25-29男子	24
623	6008	早崎 郁朗	71	男	福岡県	3:38:38	0:32:55	0:09:29	1:38:32	1:17:42	525		70-74男子	13
624	6093	片田 知子	64	女	神奈川県	3:38:39	0:31:34	0:04:23	1:37:25	1:25:17		99	60-64女子	11
625	9024	羽鳥 和加子	51	女	東京都	3:38:42	0:37:07	0:09:17	1:34:43	1:17:35		100	50-54女子	16
626	7001	岩見 克朋	31	男	神奈川県	3:38:42	0:37:32	0:08:38	1:35:18	1:17:14	526		30-34男子	41
627	6020	笠原 拓馬	34	男	愛知県	3:38:52	0:37:46	0:07:21	1:35:00	1:18:45	527		30-34男子	42
628	9121	久野 恭兵	38	男	沖縄県	3:39:01	0:41:23	0:08:04	1:40:51	1:08:43	528		35-39男子	38
629	7118	仲尾次 慶	50	男	沖縄県	3:39:04	0:42:41	0:09:44	1:31:42	1:14:57	529		50-54男子	97
630	9133	伊藤 優馬	29	男	鹿児島県	3:39:09	0:43:19	0:09:39	1:38:38	1:07:33	530		25-29男子	25
631	2040	北脇 皇	37	男	沖縄県	3:39:13	0:25:25	0:03:26	1:27:20	1:43:02	531		35-39男子	39
632	4028	森田 裕藏	59	男	東京都	3:39:16	0:30:47	0:08:53	1:41:00	1:18:36	532		55-59男子	70
633	9014	蓮尾 亮	37	男	東京都	3:39:29	0:43:19	0:09:10	1:36:50	1:10:10	533		35-39男子	40
634	9116	田上 卓矢	35	男	東京都	3:39:30	0:36:34	0:10:29	1:35:34	1:16:53	534		35-39男子	41
635	3116	正戸 知穂	51	女	神奈川県	3:39:31	0:32:40	0:06:09	1:49:05	1:11:37		101	50-54女子	17
636	6072	吉永 雄一	55	男	Great Britain	3:39:34	0:30:04	0:04:59	1:38:07	1:26:24	535		55-59男子	71
637	7043	上原 裕一	46	男	沖縄県	3:39:39	0:36:29	0:09:04	1:31:31	1:22:35	536		45-49男子	87
638	8080	堀田 政宏	50	男	愛知県	3:39:41	0:45:55	0:07:10	1:40:08	1:06:28	537		50-54男子	98
639	7007	鵜飼 隆司	60	男	岐阜県	3:39:54	0:38:06	0:07:27	1:34:55	1:19:26	538		60-64男子	41
640	5099	岡田 将到	42	男	大阪府	3:40:04	0:35:39	0:09:09	1:31:20	1:23:56	539		40-44男子	83
641	5102	山下 雅史	46	男	東京都	3:40:13	0:43:26	0:06:44	1:24:40	1:25:23	540		45-49男子	88
642	8091	末吉 衛	58	男	沖縄県	3:40:19	0:44:38	0:06:52	1:23:30	1:25:19	541		55-59男子	72
643	9114	渡部 伸晃	30	男	東京都	3:40:21	0:37:57	0:12:02	1:45:39	1:04:43	542		30-34男子	43
644	8085	中川 淳子	53	女	愛知県	3:40:22	0:37:55	0:09:32	1:38:50	1:14:05		102	50-54女子	18
645	3089	若柳 諒	35	男	東京都	3:40:24	0:31:56	0:11:02	1:36:41	1:20:45	543		35-39男子	42
646	3104	住所 和彦	46	男	兵庫県	3:40:46	0:32:25	0:04:48	1:39:31	1:24:02	544		45-49男子	89
647	6063	新原 輝久	53	男	愛知県	3:40:55	0:33:02	0:09:50	1:33:28	1:24:35	545		50-54男子	99
648	7115	杉浦 宏哉	49	男	愛知県	3:40:56	0:39:32	0:09:18	1:35:20	1:16:46	546		45-49男子	90
649	7052	笠木 泰範	50	男	東京都	3:40:57	0:38:28	0:09:16	1:38:20	1:14:53	547		50-54男子	100
650	40	辻 芳樹	60	男	大阪府	3:41:09	0:31:22	0:07:15	1:51:34	1:10:58	548		60-64男子	42
651	6107	御厨 篤	26	男	佐賀県	3:41:20	0:36:51	0:04:55	1:36:57	1:22:37	549		25-29男子	26
652	7095	Delgado Anthony	33	男	沖縄県	3:41:26	0:33:22	0:05:41	1:35:02	1:27:21	550		30-34男子	44
653	5010	藤原 栄朋	45	男	千葉県	3:41:37	0:34:13	0:07:10	1:39:40	1:20:34	551		45-49男子	91
654	3019	桂屋 正明	40	男	東京都	3:41:42	0:32:54	0:05:33	1:41:50	1:21:25	552		40-44男子	84
655	8101	茂木 優弥	27	男	福岡県	3:41:57	0:36:28	0:07:30	1:33:54	1:24:05	553		25-29男子	27
656	8082	山崎 新悟	51	男	岐阜県	3:42:03	0:39:06	0:07:45	1:31:21	1:23:51	554		50-54男子	101
657	6058	有光 北斗	52	男	福岡県	3:42:03	0:38:12	0:06:55	1:29:48	1:27:08	555		50-54男子	102
658	7142	深沢 栄二	59	男	山梨県	3:42:19	0:35:39	0:08:12	1:35:33	1:22:55	556		55-59男子	73
659	9059	西部 秀人	46	男	岐阜県	3:42:19	0:40:19	0:07:30	1:32:32	1:21:58	557		45-49男子	92
660	5046	浅見 美香	49	女	東京都	3:42:24	0:42:13	0:08:28	1:40:15	1:11:28		103	45-49女子	16
661	4121	大浜 周夫	64	男	沖縄県	3:42:28	0:35:06	0:05:13	1:43:36	1:18:33	558		60-64男子	43
662	6096	富田 一郎	67	男	埼玉県	3:42:39	0:31:10	0:06:12	1:37:28	1:27:49	559		65-69男子	18
663	6013	清水 佳穂	29	女	東京都	3:42:45	0:37:01	0:06:23	1:31:47	1:27:34		104	25-29女子	6
664	6039	森田 式子	45	女	愛知県	3:42:55	0:37:57	0:07:30	1:34:20	1:23:08		105	45-49女子	17
665	5085	齋藤 孝司	47	男	愛知県	3:42:57	0:40:16	0:07:28	1:27:03	1:28:10	560		45-49男子	93
666	2018	五條 彩姫	20	女	学連	3:43:02	0:31:47	0:05:51	1:41:29	1:23:55		106	20-24女子	2
667	3003	渡邉 将太	35	男	神奈川県	3:43:02	0:27:42	0:07:25	1:38:09	1:29:46	561		35-39男子	43
668	8023	清水 沙羅	37	女	東京都	3:43:03	0:40:52	0:09:51	1:29:29	1:22:51		107	35-39女子	12
669	6016	入山 和士	21	男	愛知県	3:43:16	0:43:17	0:07:37	1:32:32	1:19:50	562		20-24男子	15
670	5110	奥谷 幸司	54	男	奈良県	3:43:17	0:38:24	0:04:54	1:34:53	1:25:06	563		50-54男子	103
671	8095	三浦 健一	60	男	茨城県	3:43:26	0:35:51	0:08:27	1:36:15	1:22:53	564		60-64男子	44
672	6055	大野 享子	52	女	沖縄県	3:43:48	0:38:35	0:05:45	1:44:53	1:14:35		108	50-54女子	19
